ROLE_FAMILY,0.9526510837
ROLE_TITLE:ROLE_FAMILY,0.9487827599
ROLE_TITLE:ROLE_CODE,0.9487827599
ROLE_FAMILY:ROLE_CODE,0.9487827599
ROLE_TITLE,0.9487827599
ROLE_CODE,0.9487827599
ROLE_TITLE:ROLE_FAMILY_DESC,0.9482614618
ROLE_FAMILY_DESC:ROLE_CODE,0.9482614618
ROLE_FAMILY_DESC:ROLE_FAMILY,0.9480825075
ROLE_FAMILY_DESC,0.9478859056
ROLE_DEPTNAME:ROLE_TITLE,0.9476053934
ROLE_DEPTNAME:ROLE_CODE,0.9476053934
ROLE_DEPTNAME:ROLE_FAMILY_DESC,0.9465943852
ROLE_ROLLUP_2:ROLE_FAMILY_DESC,0.9454428076
ROLE_ROLLUP_1:ROLE_FAMILY_DESC,0.944902181
ROLE_ROLLUP_1:ROLE_TITLE,0.9441452803
ROLE_ROLLUP_1:ROLE_CODE,0.9441452803
ROLE_ROLLUP_1,0.9434201253
MGR_ID:ROLE_DEPTNAME,0.9430358226
ROLE_ROLLUP_2:ROLE_TITLE,0.9430300552
ROLE_ROLLUP_2:ROLE_CODE,0.9430300552
MGR_ID:ROLE_FAMILY_DESC,0.9429785493
MGR_ID:ROLE_TITLE,0.942955001
MGR_ID:ROLE_CODE,0.942955001
ROLE_DEPTNAME:ROLE_FAMILY,0.9419733199
RESOURCE:ROLE_FAMILY_DESC,0.9412246862
MGR_ID:ROLE_ROLLUP_1,0.9411481892
MGR_ID:ROLE_FAMILY,0.9404734603
MGR_ID,0.9403370996
MGR_ID:ROLE_ROLLUP_2,0.9396435241
ROLE_ROLLUP_1:ROLE_FAMILY,0.9392518767
RESOURCE:ROLE_TITLE,0.938870929
RESOURCE:ROLE_CODE,0.938870929
ROLE_ROLLUP_1:ROLE_DEPTNAME,0.93865201
ROLE_ROLLUP_1:ROLE_ROLLUP_2,0.9366446415
ROLE_ROLLUP_2:ROLE_FAMILY,0.9364963832
RESOURCE:MGR_ID,0.9356765366
RESOURCE:ROLE_FAMILY,0.935080392
ROLE_ROLLUP_2,0.9340958774
RESOURCE,0.932277676
RESOURCE:ROLE_ROLLUP_1,0.9320274156
ROLE_ROLLUP_2:ROLE_DEPTNAME,0.9306905412
ROLE_DEPTNAME,0.9295806661
RESOURCE:ROLE_DEPTNAME,0.9222654782
RESOURCE:ROLE_ROLLUP_2,0.9213479826
